iteration,makespan,bks,optimality gap
4,3092.51,Dynamic,58.09
5,3124.80,Dynamic,59.41
6,3124.80,Dynamic,59.41
7,2930.91,Dynamic,51.01
8,2949.32,Dynamic,51.71
9,2949.32,Dynamic,51.71
10,2943.22,Dynamic,50.59
11,2994.64,Dynamic,52.70
12,2994.64,Dynamic,52.70
13,2994.64,Dynamic,52.70
14,2991.49,Dynamic,53.73
15,2976.32,Dynamic,52.67
16,2976.32,Dynamic,52.67
17,2958.71,Dynamic,52.14
18,2968.60,Dynamic,52.45
19,2968.60,Dynamic,52.45
20,2923.88,Dynamic,49.86
21,2933.52,Dynamic,50.14
22,2933.52,Dynamic,50.14
23,2927.41,Dynamic,49.84
24,2977.91,Dynamic,54.07
25,2977.91,Dynamic,54.07
26,2943.95,Dynamic,51.26
27,2886.66,Dynamic,48.70
28,2891.08,Dynamic,48.95
29,2894.80,Dynamic,48.95
30,2901.82,Dynamic,50.00
31,2901.96,Dynamic,50.49
32,2901.96,Dynamic,50.49
33,2923.49,Dynamic,49.55
34,2900.00,Dynamic,48.27
35,2900.00,Dynamic,48.27
36,2927.18,Dynamic,50.55
37,2949.96,Dynamic,52.49
38,2949.96,Dynamic,52.49
39,2946.12,Dynamic,51.48
40,2928.00,Dynamic,49.66
41,2928.00,Dynamic,49.66
42,2914.59,Dynamic,48.77
43,2924.28,Dynamic,50.73
44,2917.00,Dynamic,50.62
45,2917.00,Dynamic,50.62
46,2923.63,Dynamic,50.93
47,2948.62,Dynamic,51.75
48,2948.62,Dynamic,51.75
49,2901.88,Dynamic,47.95
50,2920.70,Dynamic,48.84
51,2920.70,Dynamic,48.84
52,2915.24,Dynamic,49.78
53,2917.52,Dynamic,50.98
54,2917.52,Dynamic,50.98
55,2905.83,Dynamic,49.15
56,2917.81,Dynamic,49.90
57,2917.81,Dynamic,49.90
58,2896.19,Dynamic,49.66
59,2862.52,Dynamic,47.60
60,2874.65,Dynamic,47.63
61,2872.57,Dynamic,47.40
62,2886.97,Dynamic,48.77
63,2884.17,Dynamic,47.99
64,2884.17,Dynamic,47.99
65,2866.74,Dynamic,47.48
66,2868.04,Dynamic,47.91
67,2868.04,Dynamic,47.91
68,2842.70,Dynamic,47.73
69,2919.70,Dynamic,50.62
70,2919.70,Dynamic,50.62
71,2880.20,Dynamic,48.78
72,2833.82,Dynamic,45.08
73,2833.82,Dynamic,45.08
74,2815.18,Dynamic,44.12
75,2874.00,Dynamic,47.89
76,2874.00,Dynamic,47.89
77,2869.32,Dynamic,47.59
78,2854.77,Dynamic,45.73
79,2862.33,Dynamic,45.49
80,2860.55,Dynamic,45.22
81,2860.32,Dynamic,47.78
82,2880.92,Dynamic,48.97
83,2880.92,Dynamic,48.97
84,2862.28,Dynamic,47.14
85,2861.28,Dynamic,47.32
86,2859.25,Dynamic,47.04
87,2843.41,Dynamic,45.53
88,2800.91,Dynamic,44.79
89,2800.91,Dynamic,44.79
90,2841.62,Dynamic,45.84
91,2871.04,Dynamic,46.40
92,2871.04,Dynamic,46.40
93,2886.50,Dynamic,46.92
94,2862.86,Dynamic,46.11
95,2865.45,Dynamic,45.91
96,2880.25,Dynamic,46.73
97,2900.44,Dynamic,49.32
98,2888.58,Dynamic,48.34
99,2888.58,Dynamic,48.34
100,2824.38,Dynamic,44.45
101,2844.96,Dynamic,45.34
102,2844.96,Dynamic,45.34
103,2881.82,Dynamic,48.11
104,2870.09,Dynamic,47.84
105,2870.09,Dynamic,47.84
106,2820.17,Dynamic,45.69
107,2825.59,Dynamic,45.26
108,2825.59,Dynamic,45.26
109,2829.21,Dynamic,44.93
110,2826.50,Dynamic,45.40
111,2832.00,Dynamic,45.65
112,2811.91,Dynamic,45.28
113,2796.18,Dynamic,44.03
114,2838.62,Dynamic,46.63
115,2838.62,Dynamic,46.63
116,2817.52,Dynamic,44.88
117,2834.25,Dynamic,45.24
118,2834.25,Dynamic,45.24
119,2829.41,Dynamic,45.91
120,2804.17,Dynamic,44.81
121,2804.17,Dynamic,44.81
122,2791.14,Dynamic,43.67
123,2822.58,Dynamic,45.80
124,2816.87,Dynamic,45.18
125,2808.17,Dynamic,45.08
126,2826.65,Dynamic,45.49
127,2841.82,Dynamic,46.01
128,2810.43,Dynamic,44.41
129,2806.81,Dynamic,44.86
130,2814.92,Dynamic,45.05
131,2819.08,Dynamic,45.26
132,2875.96,Dynamic,47.62
133,2848.35,Dynamic,45.55
134,2848.35,Dynamic,45.55
135,2839.19,Dynamic,45.02
136,2838.29,Dynamic,44.73
137,2838.29,Dynamic,44.73
138,2814.26,Dynamic,44.25
139,2835.24,Dynamic,45.35
140,2837.83,Dynamic,45.51
141,2877.19,Dynamic,47.81
142,2814.85,Dynamic,45.17
143,2803.86,Dynamic,44.13
144,2846.52,Dynamic,45.33
145,2884.23,Dynamic,48.26
146,2861.91,Dynamic,46.53
147,2858.24,Dynamic,46.71
148,2822.92,Dynamic,45.76
149,2861.00,Dynamic,47.29
150,2853.63,Dynamic,46.96
151,2812.61,Dynamic,44.60
152,2818.41,Dynamic,43.64
153,2818.41,Dynamic,43.64
154,2820.09,Dynamic,44.12
155,2844.58,Dynamic,46.16
156,2850.48,Dynamic,46.18
157,2801.26,Dynamic,43.48
158,2852.30,Dynamic,47.07
159,2816.78,Dynamic,45.72
160,2800.00,Dynamic,44.68
161,2845.43,Dynamic,46.36
162,2857.20,Dynamic,46.53
163,2857.62,Dynamic,46.72
164,2830.93,Dynamic,44.91
165,2827.58,Dynamic,45.23
166,2834.84,Dynamic,45.31
167,2846.33,Dynamic,45.47
168,2868.42,Dynamic,46.96
169,2868.46,Dynamic,47.07
170,2890.92,Dynamic,48.41
171,2800.25,Dynamic,45.16
172,2824.17,Dynamic,46.16
173,2818.90,Dynamic,45.75
174,2921.84,Dynamic,49.91
175,2972.52,Dynamic,53.15
176,2972.52,Dynamic,53.15
177,2838.82,Dynamic,45.71
178,2861.61,Dynamic,47.02
179,2861.61,Dynamic,47.02
180,2907.45,Dynamic,49.43
181,2884.77,Dynamic,48.02
182,2903.79,Dynamic,49.31
183,2878.87,Dynamic,47.73
184,2811.04,Dynamic,45.20
185,2805.76,Dynamic,45.23
186,2802.25,Dynamic,45.34
187,2832.39,Dynamic,45.58
188,2837.12,Dynamic,45.60
189,2837.12,Dynamic,45.60
190,2836.56,Dynamic,45.30
191,2839.14,Dynamic,45.28
192,2840.71,Dynamic,45.30
193,2847.82,Dynamic,45.85
194,2798.11,Dynamic,42.36
195,2804.80,Dynamic,42.80
196,2807.90,Dynamic,43.18
197,2827.43,Dynamic,44.96
198,2841.69,Dynamic,45.69
199,2852.46,Dynamic,46.39
200,2823.33,Dynamic,44.14
