iteration,makespan,bks,optimality gap
1,3014.364864864865,1937.0,55.62028213034925
2,3031.320930232558,1937.0,56.495659795175946
3,3031.005602240896,1937.0,56.47938060097554
4,3025.9678068410462,1937.0,56.21929823650213
5,3025.3934169278996,1937.0,56.189644652963324
6,3018.2943444730076,1937.0,55.823146333144436
7,3013.4575163398695,1937.0,55.57343915022558
8,3007.6531190926275,1937.0,55.27378002543251
9,3005.7829716193655,1937.0,55.177231369094756
10,3004.2451420029897,1937.0,55.097839029581294
11,3002.6468200270638,1937.0,55.015323697834994
12,2997.165018541409,1937.0,54.73231897477589
13,2992.2070534698523,1937.0,54.476357948882416
14,2988.0985247629083,1937.0,54.264250116825416
15,2983.767019667171,1937.0,54.04063085530052
16,2974.419,1937.0,53.55802787816209
17,2965.651,1937.0,53.10536912751677
18,2958.1765,1937.0,52.71948890036139
19,2951.739,1937.0,52.38714506969541
20,2947.676,1937.0,52.17738771295818
21,2943.893,1937.0,51.98208569953536
22,2940.285,1937.0,51.795818275684034
23,2934.3085,1937.0,51.48727413526072
24,2928.3795,1937.0,51.18118224057822
25,2918.9465,1937.0,50.69419204956118
26,2914.0395,1937.0,50.44086215797624
27,2908.605,1937.0,50.16029943211151
28,2903.1845,1937.0,49.880459473412486
29,2900.5625,1937.0,49.745095508518325
30,2895.696,1937.0,49.49385647909138
31,2890.648,1937.0,49.23324728962314
32,2884.231,1937.0,48.90196179659268
33,2872.854,1937.0,48.314610221992766
34,2865.6385,1937.0,47.9421011874032
35,2858.3305,1937.0,47.56481672689726
36,2850.208,1937.0,47.145482705214256
37,2844.761,1937.0,46.864274651522976
38,2841.2185,1937.0,46.68138874548271
39,2837.209,1937.0,46.47439339184305
40,2835.504,1937.0,46.38637067630356
41,2832.6775,1937.0,46.24044914816726
42,2825.551,1937.0,45.87253484770263
43,2822.523,1937.0,45.71621063500259
44,2820.6845,1937.0,45.62129581827568
45,2819.0945,1937.0,45.53921011874033
46,2816.3195,1937.0,45.39594734124936
47,2813.615,1937.0,45.25632421270004
48,2809.4515,1937.0,45.041378420237486
49,2806.4645,1937.0,44.88717088280847
50,2804.5475,1937.0,44.788203407330926
51,2801.4295,1937.0,44.62723283427982
52,2796.5395,1937.0,44.37478058853897
53,2790.4445,1937.0,44.060118740320085
54,2784.3925,1937.0,43.74767681982446
55,2782.3015,1937.0,43.639726381001545
56,2779.4295,1937.0,43.491455859576675
57,2775.794,1937.0,43.303768714506965
58,2774.6005,1937.0,43.242152813629325
59,2773.4305,1937.0,43.18175012906556
60,2768.66,1937.0,42.93546721734641
61,2770.017,1937.0,43.00552400619514
62,2769.3365,1937.0,42.970392359318524
63,2768.0855,1937.0,42.90580795043883
64,2766.981,1937.0,42.84878678368612
65,2764.6485,1937.0,42.72836861125451
66,2763.632,1937.0,42.675890552400624
67,2760.5395,1937.0,42.516236448115635
68,2759.5675,1937.0,42.46605575632422
69,2756.0235,1937.0,42.283092410944754
70,2751.452,1937.0,42.04708311822407
71,2749.006,1937.0,41.920805369127514
72,2746.482,1937.0,41.790500774393394
73,2745.894,1937.0,41.76014455343313
74,2742.218,1937.0,41.57036654620547
75,2736.619,1937.0,41.28131130614353
76,2731.3875,1937.0,41.01122870418171
77,2730.276,1937.0,40.95384615384614
78,2729.222,1937.0,40.89943211151266
79,2726.0925,1937.0,40.737867836861135
80,2726.3535,1937.0,40.751342281879204
81,2727.5235,1937.0,40.811744966442944
82,2725.262,1937.0,40.694992256066094
83,2724.711,1937.0,40.66654620547237
84,2723.229,1937.0,40.59003613835828
85,2721.3535,1937.0,40.49321115126485
86,2720.514,1937.0,40.4498709344347
87,2721.5365,1937.0,40.50265875064534
88,2725.2615,1937.0,40.694966442953024
89,2725.5005,1937.0,40.70730511099639
90,2723.737,1937.0,40.616262261228705
91,2724.751,1937.0,40.66861125451731
92,2725.1025,1937.0,40.68675787299948
93,2723.6105,1937.0,40.60973154362415
94,2720.529,1937.0,40.450645327826535
95,2720.7665,1937.0,40.462906556530726
96,2719.767,1937.0,40.411306143520896
97,2719.3085,1937.0,40.38763551884358
98,2718.887,1937.0,40.365875064532794
99,2717.0935,1937.0,40.27328342798141
100,2714.248,1937.0,40.126381001548786
101,2710.661,1937.0,39.941197728446056
102,2708.373,1937.0,39.823076923076925
103,2707.5485,1937.0,39.78051109963861
104,2705.0055,1937.0,39.64922560660817
105,2702.957,1937.0,39.54346928239545
106,2702.074,1937.0,39.49788332472897
107,2699.363,1937.0,39.35792462570985
108,2697.0745,1937.0,39.239778007227684
109,2690.811,1937.0,38.916417139907075
110,2685.719,1937.0,38.65353639648942
111,2681.681,1937.0,38.44506969540527
112,2678.1135,1937.0,38.26089313371192
113,2673.411,1937.0,38.01812080536913
114,2667.5605,1937.0,37.71608156943728
115,2664.766,1937.0,37.571812080536915
116,2660.48,1937.0,37.35054207537429
117,2655.949,1937.0,37.11662364481157
118,2652.5585,1937.0,36.94158492514198
119,2651.506,1937.0,36.88724832214764
120,2648.546,1937.0,36.734434692823946
121,2644.254,1937.0,36.51285493030459
122,2642.265,1937.0,36.4101703665462
123,2640.53,1937.0,36.32059886422304
124,2639.991,1937.0,36.2927723283428
125,2638.1675,1937.0,36.198631905007744
126,2638.421,1937.0,36.21171915332988
127,2638.2755,1937.0,36.20420753742902
128,2637.7355,1937.0,36.17632937532265
129,2635.667,1937.0,36.0695405265875
130,2634.476,1937.0,36.00805369127517
131,2634.5915,1937.0,36.01401652039236
132,2630.7225,1937.0,35.814274651522965
133,2630.778,1937.0,35.81713990707278
134,2628.462,1937.0,35.697573567372224
135,2622.543,1937.0,35.391997934950965
136,2617.4495,1937.0,35.129039752194124
137,2614.693,1937.0,34.986732059886435
138,2611.169,1937.0,34.80480123902942
139,2606.5635,1937.0,34.56703665462056
140,2603.433,1937.0,34.4054207537429
141,2601.638,1937.0,34.31275167785234
142,2600.9465,1937.0,34.27705214248839
143,2598.6055,1937.0,34.15619514713475
144,2596.0635,1937.0,34.024961280330416
145,2592.363,1937.0,33.83391843056272
146,2588.901,1937.0,33.65518843572534
147,2588.1295,1937.0,33.61535880227156
148,2591.0195,1937.0,33.764558595766644
149,2591.451,1937.0,33.78683531233867
150,2589.0095,1937.0,33.66078988125968
151,2588.496,1937.0,33.63427981414559
152,2586.992,1937.0,33.5566339700568
153,2584.4525,1937.0,33.425529168817754
154,2579.705,1937.0,33.18043366029943
155,2575.7675,1937.0,32.977155394940624
156,2573.9975,1937.0,32.88577697470315
157,2571.0035,1937.0,32.73120805369126
158,2571.7705,1937.0,32.77080536912752
159,2571.4785,1937.0,32.75573051109964
160,2568.2015,1937.0,32.586551368095
161,2565.008,1937.0,32.4216830149716
