iter,reward_mean,timesteps_total
1,,1120
2,,2240
3,,3360
4,,4480
5,,5600
6,,6720
7,,7840
8,,8960
9,,10080
10,,11200
11,,12320
12,,13440
13,,14560
14,,15680
15,,16800
16,,17920
17,,19040
18,,20160
19,,21280
20,,22400
21,,23520
22,,24640
23,,25760
24,,26880
25,,28000
26,,29120
27,,30240
28,,31360
29,,32480
30,,33600
31,,34720
32,,35840
33,,36960
34,,38080
35,,39200
36,,40320
37,,41440
38,,42560
39,,43680
40,,44800
41,,45920
42,,47040
43,,48160
44,,49280
45,,50400
46,,51520
47,,52640
48,,53760
49,,54880
50,,56000
51,,57120
52,,58240
53,,59360
54,,60480
55,,61600
56,,62720
57,,63840
58,,64960
59,,66080
60,,67200
61,,68320
62,,69440
63,-12450.0,70560
64,-12577.666666666666,71680
65,-12577.666666666666,72800
66,-12577.666666666666,73920
67,-12577.666666666666,75040
68,-12360.333333333334,76160
69,-12360.333333333334,77280
70,-12360.333333333334,78400
71,-12360.333333333334,79520
72,-12391.333333333334,80640
73,-12391.333333333334,81760
74,-12391.333333333334,82880
75,-12326.181818181818,84000
76,-12397.5,85120
77,-12397.5,86240
78,-12380.0,87360
79,-12380.0,88480
80,-12380.0,89600
81,-12380.0,90720
82,-12598.333333333334,91840
83,-12598.333333333334,92960
84,-12791.4,94080
85,-12791.4,95200
86,-12876.952380952382,96320
87,-12876.952380952382,97440
88,-12876.952380952382,98560
89,-12876.952380952382,99680
90,-12876.952380952382,100800
91,-12876.952380952382,101920
92,-12929.954545454546,103040
93,-13013.95652173913,104160
94,-13013.95652173913,105280
95,-12985.5,106400
96,-12985.5,107520
97,-13046.6,108640
98,-13046.6,109760
99,-13046.6,110880
100,-13046.6,112000
101,-13046.6,113120
102,-13046.6,114240
103,-13046.6,115360
104,-13046.6,116480
105,-13046.6,117600
106,-13070.384615384615,118720
107,-13070.384615384615,119840
108,-13070.384615384615,120960
109,-13070.384615384615,122080
110,-13070.384615384615,123200
111,-13070.384615384615,124320
112,-13070.384615384615,125440
113,-13070.384615384615,126560
114,-13070.384615384615,127680
115,-13070.384615384615,128800
116,-13105.037037037036,129920
117,-13105.037037037036,131040
118,-13105.037037037036,132160
119,-13105.037037037036,133280
120,-13105.037037037036,134400
121,-13105.037037037036,135520
122,-13105.037037037036,136640
123,-13105.037037037036,137760
124,-13105.037037037036,138880
125,-13105.037037037036,140000
126,-13105.037037037036,141120
127,-13105.037037037036,142240
128,-13105.037037037036,143360
129,-13105.037037037036,144480
130,-13105.037037037036,145600
131,-13105.037037037036,146720
132,-13105.037037037036,147840
133,-13105.037037037036,148960
134,-13105.037037037036,150080
135,-13105.037037037036,151200
136,-13105.037037037036,152320
137,-13105.037037037036,153440
138,-13105.037037037036,154560
139,-13105.037037037036,155680
140,-13105.037037037036,156800
141,-13105.037037037036,157920
142,-13105.037037037036,159040
143,-13105.037037037036,160160
144,-13232.862068965518,161280
145,-13232.862068965518,162400
146,-13232.862068965518,163520
147,-13232.862068965518,164640
148,-13232.862068965518,165760
149,-13314.933333333332,166880
150,-13314.933333333332,168000
151,-13314.933333333332,169120
152,-13314.933333333332,170240
153,-13314.933333333332,171360
154,-13314.933333333332,172480
155,-13458.40625,173600
156,-13458.40625,174720
157,-13458.40625,175840
158,-13485.39393939394,176960
159,-13485.39393939394,178080
160,-13485.39393939394,179200
161,-13485.39393939394,180320
162,-13485.39393939394,181440
163,-13485.39393939394,182560
164,-13485.39393939394,183680
165,-13485.39393939394,184800
166,-13485.39393939394,185920
167,-13485.39393939394,187040
168,-13485.39393939394,188160
169,-13485.39393939394,189280
170,-13485.39393939394,190400
171,-13485.39393939394,191520
172,-13485.39393939394,192640
173,-13485.39393939394,193760
174,-13485.39393939394,194880
175,-13485.39393939394,196000
176,-13485.39393939394,197120
177,-13485.39393939394,198240
178,-13485.39393939394,199360
179,-13601.176470588236,200480
180,-13601.176470588236,201600
181,-13601.176470588236,202720
182,-13601.176470588236,203840
183,-13601.176470588236,204960
184,-13601.176470588236,206080
185,-13601.176470588236,207200
186,-13601.176470588236,208320
187,-13601.176470588236,209440
188,-13601.176470588236,210560
189,-13601.176470588236,211680
190,-13601.176470588236,212800
191,-13601.176470588236,213920
192,-13601.176470588236,215040
193,-13601.176470588236,216160
194,-13601.176470588236,217280
195,-13601.176470588236,218400
