instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta62,1,1000,4476,99,56.012547926106656,148.76
ta62,2,1001,4554,95,58.73126524921575,150.32
ta62,3,1002,4758,100,65.84175670965493,147.35
ta62,4,1003,4549,100,58.5569884977344,145.64
ta62,5,1004,4687,100,63.36702683861973,147.74
ta62,6,1005,4693,100,63.57615894039735,147.85
ta62,7,1006,4671,100,62.8093412338794,145.94
ta62,8,1007,4489,82,56.46566747995817,146.4
ta62,9,1008,4618,95,60.962007668177066,146.42
ta62,10,1009,4869,66,69.71070059254096,145.86
