instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta72,1,1000,5602,100,8.125844431576915,3972.33
ta72,2,1001,5574,99,7.585408222350898,3975.49
ta72,3,1002,5614,100,8.357459949816638,3984.05
ta72,4,1003,5635,100,8.762787106736152,3979.86
ta72,5,1004,5680,98,9.63134530013511,3969.72
ta72,6,1005,5637,99,8.801389693109439,3981.89
ta72,7,1006,5591,100,7.913530206523837,3978.7
ta72,8,1007,5512,100,6.3887280447790005,3953.96
ta72,9,1008,5629,100,8.64697934761629,3965.9
ta72,10,1009,5578,99,7.6626133950974715,3953.12
