algorithm,instance,best,mean,std,gap_best_%,gap_mean_%
GA,ta42,3009,3097.3,75.59254813361785,55.18308406395049,59.73697782362043
GA,ta52,3863,4028.6,100.02910687506022,40.16690856313498,46.17561683599419
GA,ta62,4476,4636.4,123.86031558888334,56.012547926106656,61.60334611362843
GA,ta72,7527,7648.2,113.39782478807372,45.28083381586566,47.62015055008685
MA,ta42,2215,2261.7,23.64576541840467,14.234141309953584,16.64259927797833
MA,ta52,2947,2978.2,19.20532333610774,6.93033381712627,8.062409288824377
MA,ta62,3255,3306.9,29.942352019245988,13.454165214360405,15.263157894736844
MA,ta72,5512,5605.2,45.643059591671644,6.3887280447790005,8.187608569774172
HGA,ta42,2280,2324.7,35.52479572229953,17.586384734399175,19.89169675090252
HGA,ta52,2992,3058.2,42.78057710898461,8.563134978229318,10.965166908563129
HGA,ta62,3311,3382.9,35.05693781391764,15.406064830951552,17.9121645172534
HGA,ta72,5586,5696.3,46.79280571483897,7.81702374059062,9.945956379077401
