algorithm,instance,best,mean,std,gap_best_%,gap_mean_%
GA,ta42,2925,3001.3333333333335,66.4253967495365,50.850954100051574,54.78769124978512
GA,ta52,3815,3917.6666666666665,95.55277773740193,38.425253991291726,42.15045960328979
GA,ta62,4392,4441.0,55.97320787662612,53.08469850121994,54.79261066573719
GA,ta72,7306,7413.666666666667,93.46835471609273,41.015248021617445,43.0933539213794
MA,ta42,2274,2320.6666666666665,41.01625693957621,17.276946879834966,19.68368574866769
MA,ta52,3093,3113.0,20.518284528683193,12.227866473149492,12.95355587808418
MA,ta62,3394,3439.6666666666665,56.60683115431682,18.299058905542,19.89078656907168
MA,ta72,5739,5825.0,82.72242743053422,10.770121598147076,12.430032812198418
HGA,ta42,2336,2376.3333333333335,35.019042438840806,20.47447137699845,22.554581399346752
HGA,ta52,3111,3150.6666666666665,34.789845261704365,12.880986937590711,14.320270924044502
HGA,ta62,3449,3491.3333333333335,53.89186704256342,20.216103171836878,21.691646334379
HGA,ta72,5747,5792.666666666667,42.85246006162696,10.924531943640224,11.805957665830284
