algorithm,instance,best,mean,std,gap_best_%,gap_mean_%
GA,ta42,2925,3001.3333333333335,66.4253967495365,50.850954100051574,54.78769124978512
GA,ta52,3815,3917.6666666666665,95.55277773740193,38.425253991291726,42.15045960328979
GA,ta62,4392,4441.0,55.97320787662612,53.08469850121994,54.79261066573719
GA,ta72,7306,7413.666666666667,93.46835471609273,41.015248021617445,43.0933539213794
MA,ta42,2292,2321.3333333333335,26.350205565295564,18.205260443527592,19.718067732508175
MA,ta52,3060,3071.3333333333335,12.055427546683415,11.030478955007258,11.44170295113692
MA,ta62,3443,3494.3333333333335,47.247574893674,20.006971070059254,21.79621238526781
MA,ta72,5846,5886.666666666667,59.53430383680768,12.835359969117931,13.620279225374773
HGA,ta42,2358,2380.3333333333335,31.214312956291916,21.609076843733884,22.760873302389555
HGA,ta52,3040,3101.3333333333335,70.26616065598955,10.304789550072568,12.530237058538951
HGA,ta62,3448,3475.6666666666665,42.82911782109612,20.181247821540605,21.145579179737418
HGA,ta72,5774,5836.0,62.505999712027645,11.445666859679598,12.642347037251495
