Instance,PPO Result,GA Makespan,GA Time (s),MA Makespan,MA Time (s),HGA Makespan,HGA Time (s)
ta41,2818,2818,311.1308,2814,55.077,2802,29.5726
ta42,2274,2794,335.8603,2376,857.406,2725,DNF
ta43,2799,2797,174.3263,2799,40.2554,2774,30.7644
ta44,2992,2984,82.5026,2990,20.2918,2832,38.1099
ta45,3038,3036,49.0294,2986,16.4943,2947,7.0959
ta46,3050,3032,97.5003,2994,27.9007,2976,42.2993
ta47,3042,3022,46.8452,3037,7.3101,2833,12.6773
ta48,2906,2905,65.697,2859,16.7299,2845,42.5142
ta49,2867,2862,187.0364,2840,22.1209,2785,46.4896
ta50,2711,2696,269.5437,2704,61.5592,2654,28.103
ta51,3594,3585,501.2833,3593,147.3277,3521,47.8392
ta52,3211,3646,519.7984,3209,790.1713,3203,155.5035
ta53,3240,3421,520.4166,3229,322.1109,3220,61.5319
ta54,3573,3568,144.3538,3544,51.8417,3406,21.1601
ta55,3243,3574,521.9377,3239,437.6859,3265,DNF
ta56,3837,3837,121.9915,3827,31.0809,3826,56.5388
ta57,3529,3686,524.7355,3524,200.2652,3519,107.7832
ta58,3438,3536,524.9826,3436,378.6973,3394,93.9306
ta59,3512,3506,372.2572,3503,57.4038,3429,44.0998
ta60,3287,3326,523.3036,3278,193.44,3269,122.0792
ta61,3931,3926,718.7072,3923,161.2031,3922,156.2186
ta62,3663,4022,909.323,3660,703.9138,3661,234.9593
ta63,3649,3727,909.0106,3640,246.3803,3642,199.8135
ta64,3765,3760,772.85,3729,210.7516,3697,119.0304
ta65,3535,3753,903.3191,3533,431.2884,3530,187.3687
ta66,3817,3842,908.4116,3802,212.0366,3811,178.8384
ta67,3743,3890,905.587,3731,299.9557,3724,85.2841
ta68,3623,3928,900.6611,3619,485.1167,3602,200.277
ta69,4006,4004,672.2149,3997,219.5096,3976,51.2573
ta70,4111,4096,521.1787,4100,92.5676,4324,DNF
ta71,6742,7194,3606.2223,6734,1538.7821,6825,DNF
ta72,6063,6505,3578.2994,6062,4275.4097,6055,863.4453
ta73,6728,7266,3570.8888,6722,1355.1232,7665,DNF
ta74,6304,6871,3571.8978,6298,2369.8364,7446,DNF
ta75,6655,7134,3567.4181,6654,1431.4465,6639,482.1364
ta76,6340,6985,3569.8482,6340,2454.1869,7677,DNF
ta77,6486,6914,3543.5641,6483,2216.9511,6476,568.145
ta78,6400,6931,3565.5648,6397,2867.6553,6651,DNF
ta79,6700,6953,3592.3338,6699,847.7317,6644,306.9657
ta80,6288,6680,3579.3819,6283,2486.2161,6243,463.2864
