Model Group,Instance,BKS,Achieved Result,Gap (%)
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta41,2005,3139,56.56
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta42,1937,2274,17.4
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta43,1846,2951,59.86
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta44,1979,2930,48.05
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta45,1997,3130,56.74
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta46,2004,3148,57.09
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta47,1889,2790,47.7
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta48,1937,3003,55.03
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta49,1960,2607,33.01
PPO_ta42_checkpoint_28022026 [ta41-ta50],ta50,1923,2870,49.25
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta51,2760,3594,30.22
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta52,2756,3211,16.51
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta53,2717,3240,19.25
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta54,2839,3573,25.85
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta55,2679,3243,21.05
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta56,2781,3837,37.97
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta57,2943,3529,19.91
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta58,2885,3438,19.17
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta59,2655,3512,32.28
PPO_ta52_checkpoint_28012026 [ta51-ta60],ta60,2723,3287,20.71
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta61,2868,3931,37.06
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta62,2869,3663,27.68
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta63,2755,3649,32.45
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta64,2702,3765,39.34
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta65,2725,3535,29.72
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta66,2845,3817,34.17
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta67,2825,3743,32.5
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta68,2784,3623,30.14
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta69,3071,4006,30.45
PPO_ta62_checkpoint_30012026 [ta61-ta70],ta70,2995,4111,37.26
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta71,5464,6742,23.39
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta72,5181,6063,17.02
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta73,5568,6728,20.83
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta74,5339,6304,18.07
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta75,5392,6655,23.42
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta76,5342,6340,18.68
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta77,5436,6486,19.32
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta78,5394,6400,18.65
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta79,5358,6700,25.05
PPO_ta72_checkpoint_31012026 [ta71-ta80],ta80,5183,6288,21.32
